Post ID,Survey,Post Status,Created (UTC),Updated (UTC),Post Date (UTC),Contact ID,Contact,Data Source ID,Source,Unstructured Description,Describe the incident in detail,Describe the incident in one line,Location.lat,Location.lon,When and at what time this happen?,What kind of incident was this?,What is your age?,What is your gender?,What was wrong with the space?,How many people were in your company when this happened,Were you taking precautionary measures?,How did you react to it?,"If you approached the Police, how did they respond?",Add Images
50,Incident report,published,2021-10-28 18:56:03,,2021-10-28 18:51:17,,,,,,"A guy parked the car in-front of me and stared at me, and smiled like really creepy and just smiled and laughed and parked the car ahead on the road.",Staring,13.10309004813,77.57322371006,2021-10-15 22:00:00,"I do not know what it is, I just felt unsafe",19,Female,"[""Cannot say definitively, place was shady""]",0,"[""I carry pepper spray""]","[""I did not react in any way""]",Idk probably they won’t say that this is an incident that requires any attention!,
51,Incident report,published,2021-10-29 00:26:52,2021-10-29 08:20:20,2021-10-29 00:22:16,,,,,,"It was quite late at night which is why all of us were huddled together, walking our friend back to her pg. When we took the turn into SFS from the Main Road, there was a man that passed by us and said the words ""Ah, I want to fuck you."" The 4 of us ignored it and continued walking, we didn't see the man again but it definitely scarred me and prevented me from ever feeling safe walking down that road.","4 girls were walking together, to drop one of our friends back home and we were catcalled by a man on his bike.",13.098754051336,77.570889447226,2021-09-30 01:30:00,"Harassment,Catcalling",19,Female,"[""Was it secluded?""]",3,"[""I was caught off-guard""]","[""I did not react in any way""]",,
52,Incident report,published,2021-11-09 17:55:34,2021-11-16 03:41:03,2021-11-09 17:51:27,,,,,,"my friend and i were walking and a few guys were making weird noises and catcalling us, we ignored them but they didnt stop. we walked faster till we reached our pgs. they were standing in an unlit area so we didn't see how many guys were there but i think there were 2-3 of them",catcalling,13.10144384839,77.571499331633,2021-11-09 21:00:00,Catcalling,19,Female,"[""Were the Street Lights not functioning or otherwise useless?""]",1,"[""I was caught off-guard""]","[""I did not react in any way""]",,
53,Incident report,published,2021-11-15 13:26:58,2021-11-16 03:41:48,2021-11-15 13:17:05,,,,,,My friend and I had gone to drop another friend because it was late at night. While coming back she was on call and I was slightly distracted and a guy on his scooter went past me after hitting me on my butt. I had a pepper spray and my phone was also in my hand; but I couldn’t do anything. I think it took me a minute to realise what had happened and he had already gone by then,"A guy on his scooter or bike touched my butt as he crossed me, while me and my friend were walking on the road",13.1007928,77.5711812,2021-11-14 10:13:00,Harassment,19,Female,"[""Cannot say definitively, place was shady""]",1,"[""I was caught off-guard""]","[""I did not react in any way""]",,
55,Incident report,published,2021-12-05 05:23:38,,2021-12-05 05:15:23,,,,,,"Me and one friend of mine were followed from be cool to Ali bhaiy’s by two men. They stood by us new the juice centre and never even ordered anything. We decided for them to leave and they didn’t. They walked only when we started walking. By this time two more of our friends were in their way to escort us home, these men stood by their car and kept staring and pointing at us as we stood away from them unable to cross them. The minute we met our friends they sat inside the car.",Two men walking in opposite direction started following us and stood by us the whole time we were Ali bhaiya’s,13.103784938721,77.571694850922,2021-12-05 09:46:00,"I do not know what it is, I just felt unsafe",22,Female,,1,"[""I was caught off-guard""]","[""I did not react in any way""]",,
56,Incident report,published,2021-12-08 07:12:03,2021-12-12 05:15:47,2021-12-08 07:08:26,,,,,,Was stalked by someone for a while and was groped by them while on a jog.,Got groped while on a jog.,13.104125417085,77.571777945673,2021-11-15 22:30:00,"Assault,Harassment",22,Female,"[""Was it secluded?""]",0,"[""I was caught off-guard""]","[""I did not react in any way""]",,
58,Incident report,published,2022-02-18 12:32:41,,2022-02-18 12:19:37,,,,,,"A man started peeing almost in the middle of the street, he was aware I was standing there, and his genitalia was pointing towards me. I immediately ran away towards the other side. There were other people on the street around me, I don't know what happened after or if anyone else saw him.",Flashed by mans genitialia,13.103813136625,77.575165520381,2022-02-18 09:30:00,Harassment,19,Female,,0,"[""I carry pepper spray""]","[""I did not react in any way""]",,
59,Incident report,published,2022-03-14 03:10:27,,2022-03-14 03:08:37,,,,,,I was walking along with three other people around 9:00pm on the 12th of March on the main road of 232 Umesh. A man on a bike slowed down behind us(without us realising) and hit my friends ass and rode off. Keep in mind it was the four of us including a guy.,Physical Assault,13.101361434095,77.569906084955,2022-03-12 21:00:00,"Assault,Harassment",20,Female,,3,,"[""I did not react in any way""]",,
60,Incident report,published,2022-03-15 13:22:43,,2022-03-15 13:17:28,,,,,,"3 young boys riding bicycles wearing blue uniform catcalled me while I was coming home from college. They loudly said ""big boobs"" and kept looking at me and laughing. They also talked in kannada which they knew I couldn't understand.",Catcalled by 3 school children,13.099097361062,77.571053377383,2022-03-15 17:50:00,Catcalling,20,Female,"[""Was it secluded?""]",0,"[""No, I was not""]","[""I did not react in any way""]",,
61,Incident report,published,2022-03-22 04:33:32,,2022-03-22 04:20:33,,,,,,"While walking down the long straight road that leads to N3, I was caught off guard by a person standing on a First floor terrace, in an indecent state, engaging in masterbation while looking down at the road, as the girls walked to college. I saw him from the corner of my eye and then made eye contact with him, but he did not stop and I could not take any action at the moment.",public indeceny,13.104988732192,77.575223660829,2021-12-11 08:50:00,"I do not know what it is, I just felt unsafe",19,Female,,1,"[""I was caught off-guard""]","[""I did not react in any way""]",,
62,Incident report,published,2022-03-22 04:47:50,,2022-03-22 04:35:16,,,,,,A guy in a white car drove along side me while I was walking towards the mess area and made whisteling sounds while making faces at me.,Catcalling,13.102141381475,77.572756768903,2021-10-21 10:16:00,Catcalling,19,Female,,0,"[""No, I was not""]","[""I did not react in any way""]",,
